Último,Apertura,Máximo,Mínimo,Vol.,% var.,date,close,open,high,low,volume,source,n_rows,n_scored,sentiment_mean,sentiment_median,log_return,abs_log_return,parkinson_var,parkinson_vol,target_absret_next1d,target_parkvol_next1d,target_absret_next3d,target_parkvol_next3d,target_absret_next7d,target_parkvol_next7d,sent_delta,sent_lag1,sent_roll7,sent_roll14,sent_z30,log_n_rows,log_n_rows_roll7,log_n_rows_roll14,parkvol_lag1,parkvol_roll7,parkvol_roll14,absret_lag1,absret_roll7,absret_roll14,dow_sin,dow_cos
"98.310,3","96.645,2","98.721,6","96.441,9","61,84K","1,72%",2025-02-20,98310.3,96645.2,98721.6,96441.9,61840.0,ALL,16,16.0,0.08836458972655237,0.09658803045749664,0.01708640111851687,0.01708640111851687,0.000196866694204612,0.014030919221655152,0.022161090277272904,0.028243571980498223,0.009800451068546722,0.014673120917583521,0.02414831831342499,0.028520116921968035,-0.026509004153518215,0.11487359388007058,0.10313530173374429,0.04883174595943545,0.37108004752128093,2.833213344056216,2.8514866823535567,2.9659398309210863,0.01114589495157732,0.01244035059362914,0.015746063750135143,0.010472171208153986,0.008216263797150477,0.008644334850913373,0.43388373911755823,-0.900968867902419
"96.155,6","98.310,3","99.473,4","94.903,6","104,28K","-2,19%",2025-02-21,96155.6,98310.3,99473.4,94903.6,104280.0,ALL,25,25.0,-0.041512657105922696,0.03695019707083702,-0.022161090277272904,0.022161090277272904,0.0007976993582175843,0.028243571980498223,0.004156473909944492,0.007040471896066623,0.01928293211553193,0.016170999283767525,0.021545781403871235,0.031525676629240815,-0.12987724683247506,0.08836458972655237,0.05321087743953934,0.03832223968748005,-0.27114660706653265,3.258096538021482,2.8570896413754547,2.9716571671834813,0.014030919221655152,0.01427597322685131,0.015817822552903035,0.01708640111851687,0.010065672312229731,0.01018635467436962,-0.433883739117558,-0.9009688679024191
"96.556,1","96.158,3","96.930,8","95.801,1","45,62K","0,42%",2025-02-22,96556.1,96158.3,96930.8,95801.1,45620.0,ALL,8,8.0,0.0915469229221344,0.033772772178053856,0.004156473909944492,0.004156473909944492,4.956824451930396e-05,0.007040471896066623,0.00308378901842278,0.008735318876185711,0.02834071504013906,0.028233233715045047,0.023785553707338404,0.03324828866526238,0.1330595800280571,-0.041512657105922696,0.07497265724598297,0.032623883009835035,0.3992636113132296,2.1972245773362196,2.8284223991665756,2.971657167183481,0.028243571980498223,0.014611515283025301,0.015809849193425807,0.022161090277272904,0.01055868874060283,0.010434679328076025,-0.9749279121818236,-0.2225209339563146
"96.258,8","96.556,2","96.655,2","95.259,5","38,82K","-0,31%",2025-02-23,96258.8,96556.2,96655.2,95259.5,38820.0,ALL,8,8.0,0.064460891764611,0.03515692614018917,-0.00308378901842278,0.00308378901842278,7.630579586864639e-05,0.008735318876185711,0.05060853341822853,0.032737207079050236,0.044564885443896605,0.041751528678957296,0.036335229231613635,0.04146081709452291,-0.027086031157523394,0.0915469229221344,0.09274866936358785,0.06368163454304927,0.25199827704378386,2.1972245773362196,2.813370896929743,2.9800702411589373,0.007040471896066623,0.014401512006861471,0.015295723638410105,0.004156473909944492,0.008873283167146626,0.010639177098018525,-0.7818314824680299,0.6234898018587334
"91.508,5","96.261,0","96.497,9","91.378,5","96,46K","-4,93%",2025-02-24,91508.5,96261.0,96497.9,91378.5,96460.0,ALL,27,27.0,0.04697739705443382,0.18338744342327118,-0.05060853341822853,0.05060853341822853,0.001071724727336617,0.032737207079050236,0.031329822683765884,0.0432271751898992,0.029676113856702074,0.040961416207325144,0.041866628079874305,0.04551925974135261,-0.017483494710177183,0.064460891764611,0.072692339616192,0.06346190576102757,0.1553896908372972,3.332204510175204,2.854468335851426,2.964131416065065,0.008735318876185711,0.017489026619970177,0.01630293358547491,0.00308378901842278,0.015580813703537382,0.013542742083531617,0.0,1.0
"88.686,0","91.510,4","92.523,1","86.097,5","195,29K","-3,08%",2025-02-25,88686.0,91510.4,92523.1,86097.5,195290.0,ALL,42,42.0,-0.39860730804502964,-0.6225049495697021,-0.031329822683765884,0.031329822683765884,0.0018685886748982367,0.0432271751898992,0.05175630022969542,0.04929020376792247,0.02054728359891232,0.04297985445449465,0.03913117666464149,0.04666541866759801,-0.44558470509946346,0.04697739705443382,-0.004842367114735743,0.038181790624616525,-2.0233728539059004,3.7612001156935624,2.9319432345407637,2.9830380270812853,0.032737207079050236,0.020737222742133212,0.01780485922378457,0.05060853341822853,0.019842611662043635,0.01455093114678574,0.7818314824680297,0.6234898018587336
"84.212,7","88.675,0","89.375,3","82.332,9","145,33K","-5,04%",2025-02-26,84212.7,88675.0,89375.3,82332.9,145330.0,ALL,29,29.0,-0.20552935920141893,-0.054766736924648285,-0.05175630022969542,0.05175630022969542,0.0024295241874833185,0.04929020376792247,0.005942218656644913,0.03036686966415375,0.009906810200418741,0.03291603858125968,0.037111559584093366,0.04398642561740512,0.1930779488436107,-0.39860730804502964,-0.050614217554948535,0.014763592857630679,-1.0063022877616343,3.4011973816621555,2.997194434897294,2.9854595664866914,0.0432271751898992,0.0261864097158968,0.01954651973074768,0.031329822683765884,0.025740344379406695,0.016691503604755544,0.9749279121818236,-0.22252093395631434
"84.714,6","84.204,6","87.013,9","82.723,5","116,14K","0,60%",2025-02-27,84714.6,84204.6,87013.9,82723.5,116140.0,ALL,43,43.0,-0.05420944060004035,0.007210761308670044,0.005942218656644913,0.005942218656644913,0.0009221467731997013,0.03036686966415375,0.003943331910396622,0.04928248993140771,0.03823657654432024,0.04486808798687822,0.03734006350798275,0.04435343501655396,0.15131991860137858,-0.20552935920141893,-0.0709819361730332,0.01607668278035554,-0.23787638661439464,3.784189633918261,3.133048190591872,2.9922674364727144,0.04929020376792247,0.028520116921968035,0.020480233757798588,0.05175630022969542,0.02414831831342499,0.016182291055287734,0.43388373911755823,-0.900968867902419
"84.381,2","84.713,3","85.028,7","78.329,8","186,90K","-0,39%",2025-02-28,84381.2,84713.3,85028.7,78329.8,186900.0,ALL,39,39.0,-0.47463727489304847,-0.6762715578079224,-0.003943331910396622,0.003943331910396622,0.002428763813839302,0.04928248993140771,0.019834880034214696,0.019098756148217592,0.06669824102620577,0.048822693212028374,0.04228195253721752,0.04335840761510636,-0.4204278342930081,-0.05420944060004035,-0.13285688157119405,-0.03982300206582734,-2.1404744413718495,3.6888794541139363,3.194588607176508,3.0258391242759815,0.03036686966415375,0.031525676629240815,0.022900824928046064,0.005942218656644913,0.021545781403871235,0.015805726858050484,-0.433883739117558,-0.9009688679024191
"86.071,6","84.353,4","86.546,3","83.837,3","79,51K","2,00%",2025-03-01,86071.6,84353.4,86546.3,83837.3,79510.0,ALL,19,19.0,-0.011926003584736273,0.0545104518532753,0.019834880034214696,0.019834880034214696,0.00036476248640907933,0.019098756148217592,0.09093151768834942,0.06622301788100936,0.0641471686071796,0.05953987038716152,0.03995994636354744,0.04224696139186692,0.4627112713083122,-0.47463727489304847,-0.14763872821503268,-0.036333035484524864,0.059328599914607656,2.995732273553991,3.3086611352076183,3.0685417671870967,0.04928248993140771,0.03324828866526238,0.023929901974143845,0.003943331910396622,0.023785553707338404,0.017172121223970615,-0.9749279121818236,-0.2225209339563146
