n,roc_auc,pr_auc,accuracy,f1,precision,recall,high_q,target
290,0.5108531044926805,0.03805665286155221,0.9517241379310345,0.0,0.0,0.0,0.9,target_parkvol_next7d
290,0.45077105575326215,0.029063334602191328,0.9482758620689655,0.0,0.0,0.0,0.9,target_absret_next7d
